brand,year,total_stores,new_open,terminate,cancel,transfer,avg_sales,area_sales
어부신광호,0,0,0,0,0,0,1,1
본정,2019,3,0,2,0,0,243629,11376
오복집,2020,1,1,0,0,0,0,0
솔레아스,2023,11,6,0,0,0,449167,0
홍대개미,2023,36,0,2,6,2,41,19
짝태시대,2019,2,0,0,0,0,0,1
잉치킨,0,0,0,0,0,0,299793,17424
오식야주육회관,2019,7,1,0,1,0,303103,15029
롯데프레시(LOTTE FRESH),2023,135,30,1,3,6,1910229,25218
MVM iPT(엠브이엠아이피티),2023,3,3,0,0,1,0,0
셰프의국수앤육개장,2023,3,1,0,1,0,406759,19369
k-guesthouse,2023,7,0,0,0,0,321894,1705
소소모소(SOSOMOSO),2021,1,0,0,0,0,1,1
유피학습,2019,11,0,0,2,0,15,5
용진집,2019,1,0,0,0,0,0,1
박승철헤어스투디오,0,0,0,0,0,0,473235894,10244787
참치몬스터,0,0,0,0,0,0,13,1
럭셔리바이,0,0,0,0,0,0,1,0
육칠이,0,0,0,0,0,0,535799,39197
스펙터,2023,9,0,0,0,0,447919,43474
제주in짬뽕,0,0,0,0,0,0,1,1
월홍갈비,2019,5,1,0,0,1,264298,7143
청해찜탕,0,0,0,0,0,0,176938,12885
Bread Farm(빵농장),2021,2,2,0,0,0,2,0
퍼스트보드게임카페,0,0,0,0,0,0,388614,4187
글라스스토리,0,0,0,0,0,0,193995,8026
엠브이피자,2023,8,8,0,0,0,1519532,75039
대패상회,2023,21,21,0,0,1,236685,7312
모미락,2021,19,5,0,0,0,282125,17560
육회한 감전통닭,0,0,0,0,0,0,163991,8227
레몬비,0,0,0,0,0,0,113741,6531
조이매스,2021,164,11,8,0,0,159,0
광장갈비,2018,2,2,0,0,0,0,0
영다방,2023,3,0,0,1,0,92500,12210
젠요가,2018,7,1,3,7,2019,356776,1779
트리2790(TREE2790),2023,0,0,0,1,0,1,1
터치카페,2020,42,5,0,5,0,23171,6881
빅다방,2018,16,0,0,5,0,71623,5305
마스터피자쏭,2023,10,2,0,0,0,262781,18041
유동커피,0,0,0,0,0,0,323301,8995
육칠팔찜,2017,0,0,0,0,0,1,0
명계찜닭화덕치킨,2018,3,0,0,0,0,3,1
키친랩,0,0,0,0,0,0,4,2
스와니코코,0,0,0,0,0,0,20,5
명태천국 명태조림감자탕,0,0,0,0,0,0,2,4
통큰두마리찜닭,2023,20,4,2,33,2,133366,7331
벱하노이(Bep HANOI),2021,2,0,0,0,0,0,0
피맥컴퍼니,0,0,0,0,0,0,4,0
내가진짜떡볶이다,2019,26,20,0,4,1,264885,58518
장윤조가마솥국밥,0,0,0,0,0,0,2,3
치킨투어237,2019,3,3,0,0,0,0,0
멘무샤조이,0,0,0,0,0,0,24788,2406
프라이빗(PRIVIT),0,0,0,0,0,0,416124,5889
달링스테이크,2019,5,2,0,0,0,254023,13551
뽕도리신,2023,3,1,1,1,0,144406,4868
탑플레이스피씨카페(PC CAFE),2023,32,0,1,4,0,400243,5376
다온다자동차유리,2023,12,3,0,10,0,21,2
노래하는크레용,2023,87,8,16,0,0,71296,0
콩사돈,2019,11,0,0,4,0,290658,10656
골프존파크(GOLFZON PARK),2022,1,760,4,28,0,436021,256
류별난닭발,0,0,0,0,0,0,1,0
씨채널,2019,10,11,0,1,0,7,181040
해골피자(HAEGOAL PIZZA),0,0,0,0,0,0,84126,7606
푸드더하기,2021,4,0,0,2,1,0,0
