brand,category,stores_22,stores_23,diff,avg_sales,area_sales,total_invest
두가지떡볶이,분식,6,1,-5,147890,16267,13200
비광닭발,한식,1,1,0,0,0,27500
패스트카페,커피,8,5,-3,0,0,14400
쁘띠몽드(PETITMONDE),유아관련,1,1,0,0,0,198000
본건강한상,본건강한상,4,4,0,0,0,44250
배달짜글OH짜글,한식,8,11,3,0,0,15726381000
보리밥보쌈전문점보릿골,한식,1,1,0,0,0,82500
은행먹은 명가보쌈,(주요,0,1,1,0,0,11000
소한마리몽땅무쏘,기타외식,1,0,-1,0,0,55000
덕자네방앗간,분,2,4,2,0,0,0
고바우통닭,고바우통닭,1,2,1,125503,5810,82500
아이스헌터,(주요상품),0,1,1,0,0,0
돼지곱닭,(,5,4,-1,0,0,0
카페 오디디오,커피,1,1,0,0,0,33000
춘뽕,중식,1,1,0,0,0,28050000
미사랑임실치즈피자,피자,1,1,0,0,0,16500
샌드어스(SANDUS),(,2,1,-1,0,0,0
원퍼밀커피,커피,2,2,0,0,0,0
김헌의행복골프,기타,7,8,1,271576,3017,220000
브리오슈도레(BRIOCHE DOREE),"제과,제빵",14,15,1,0,0,178680
마피아떡볶이,분식,4,4,0,0,0,13200
모락떡볶이,분식,1,2,1,0,0,4941
스테이크&amp;부대찌개브라더스,한식,1,1,0,0,0,49500
꼭그닭치킨,치킨,2,2,0,0,0,20160204
라이라이중국어,교육(외국어),5,5,0,0,0,0
붐바타,기타,2,1,-1,0,0,140448
망원동티라미수,(,8,4,-4,0,0,0
터치카페,커피,14,15,1,27427,11741,22000
다온다자동차유리,자동차관련,1,1,0,78397,3920,26400
아맛나식당포차,일식,1,1,0,0,0,25740000
RCC,(주요상품),1,1,0,0,0,23210
껀어네방앗간,농수산물,0,3,3,0,0,5500
조대포,기타외식,1,1,0,0,0,28050
칼리가리 박사의 밀실,(,1,0,-1,0,0,33000000
비알씨디(BRCD),(,3,2,-1,0,0,160000000
정진관의일품정,기타외식,1,1,0,0,0,22000
예신,이미용,6,5,-1,0,0,135000
새우치킨덤,치킨,2,2,0,0,0,14300
닭가대표,닭가대표,2,5,3,348641,43144,16500
빠스타그램,서양식,1,1,0,0,0,0
오복솥뚜껑,한식,0,1,1,0,0,48250
원셰프의 행복식탁,(,0,12,12,0,0,0
스파나무,이미용,6,5,-1,283817,8362,4120160010262
비에뜨반미,(,5,5,0,0,0,0
94번가,치킨,2,1,-1,0,0,46200000
홀리카홀리카,주요상품,3,17,14,0,0,202
편장군족발,(,5,6,1,0,0,0
성대생우동짜장,주점,3,3,0,0,0,33000
막창로2가 삽교곱창,(주요,0,3,3,0,0,46750
송옥,외식,6,6,0,865502,22411,46200
아메리칸트레이,(,1,1,0,0,0,0
갓스칼프,(,1,1,0,0,0,0
코코래빗,기타도소매,1,1,0,0,0,10560
장충미도왕족발보쌈,한식,1,1,0,0,0,0
샌드그립(SANDGRIP),(,3,1,-2,0,0,0
아재불닭발,한식,1,1,0,0,0,0
명태어장,기타외식,15,13,-2,486556,11227,57200
김양비어,주점,0,1,1,0,0,4103663627700
셀파수학교실,교육(교과),348,365,17,0,0,8266
소소린,(주요,0,3,3,0,0,14300
쫄쫄맨,분식,1,0,-1,0,0,9800000
곤지암 한우 소머리국밥,(주요,4,6,2,170025,7590,28600
장미꽃 떡볶이&라면,(주요상품),0,2,2,0,0,8800
청춘낙곱새,한식,1,2,1,0,0,63800
원퍼밀커피,커피,2,2,0,0,0,0
900달러,(,1,1,0,0,0,0
블루페퍼(BLUE PEPPER),(,1,1,0,0,0,0
롯데슈퍼,종합소매점,97,92,-5,0,0,0
바닷물만난콩이:두부야,농수산물,20,21,1,205541,16509,24000
코리엔탈깻잎두마리치킨,치킨,17,14,-3,190809,18272,4371
와이낫떡볶이,분식,3,3,0,0,0,22000
봄이보리밥,봄이보리밥,1,1,0,0,0,0
스터딩스터디카페,교육,1,1,0,0,0,16610
